一件禮物	yjlw	A Gift
主恩更多	zegd	(empty)
以便以謝	ybyx	(empty)
因他活著	ythz	(empty)
永活的主	yhdz	(empty)
求主領我	qzlw	Lead me, Lord!
全然向你	qrxn	(empty)
在你心外	znxy	(empty)
你真偉大	nzwd	You Are Amazing
我的心哪	wdxn	(empty)
我是主羊	wszy	(empty)
我要耶穌	wyys	(empty)
我愛神家	wasj	(empty)
我願你來	wynl	Amen, Come, Jesus
贖罪羔羊	szgy	The Lamb
是這份愛	szfa	It's This Love
信靠順服	xksf	Trust and Obey
耶穌受苦	yssk	(empty)
耶穌恩友	ysey	What A Friend We Have In Jesus
除你以外	cnyw	Whom Have I But You
從今天起	cjtq	From This Day On
掌管我心	zgwx	Rule Over My Soul
愛的真諦	adzd	(empty)
愛我願意	awyy	I Receive Your Love
愛救了我	ajlw	Love Lifted Me
想念主愛	xnza	(empty)
將心歸你	jxgn	(empty)
賜我自由	cwzy	(empty)
點名時候	dmsh	When the Roll is Called up Yonder
神的聖靈	sdsl	His Holy Spirit
神未應許	swyx	(empty)
野地的花	yddh	Flower in the Field
藏身主裏	cszl	(empty)
讚美之泉	zmzq	Stream of Praise
獻上感恩	xsge	Give Thanks
數說主恩	ssze	(empty)
犧牲的愛	xsda	(empty)
家在那邊	jznb	(empty)
感恩的心	gedx	(empty)
奇異恩典	qyed	Amazing Grace
禱告良晨	dglc	(empty)
