沙漠中的讚美	smzdzm	Praise In the Desert
一切歌頌讚美	yqgszm	Honor, Praise and Glory
大山可以挪開	dskynk	(empty)
天父必看顧你	tfbkgn	Father's Taking Care of You
父神阿爸父神	fsabfs	Father, O My Father
主耶穌我愛你	zyswan	My Jesus, I Love Thee
主恩典夠我用	zedgwy	(empty)
主啊我真愛你	zawzan	I Truly Love You, Lord!
主啊我們自卑	zywmzb	Lord, We Are Humble
雅比斯的禱告	ybsddg	The Prayer of Jabez
如鹿切慕溪水	rlqmxs	As The Deer
把冷漠變成愛	bnmbca	Fill Our Hearts With Love
我知所信是誰	wzsxss	I know Whom I Have Believed
我們又在一起	wmyzyq	We're Together Again
我寧願有耶穌	wyyys	(empty)
你的信實廣大	ndxsgd	(empty)
神啊我心堅定	sawxjd	My Heart Is Steadfast Oh! God
這世界非我家	zsjfwj	This World Is Not My Home
親愛主牽我手	qazqws	(empty)
聖殿充滿讚美	sdcmzm	His Praise Fills the Temple
齊來宗主信徒	qlzzxt	O Come All Ye Faithful Joyful
基督滿足我心	jdmzwx	None But Christ Can Satisfy
榮耀歸與真神	rygyzs	To God Be the Glory
